




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	GO Ontology database  Released 2019-12-09
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20996)	upload_1 (278)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of leukocyte adhesion to vascular endothelial cell (GO:1904994)	23	5	.30	+	16.42	2.82E-05	5.35E-04
necroptotic process (GO:0070266)	23	5	.30	+	16.42	2.82E-05	5.35E-04
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	61	7	.81	+	8.67	2.96E-05	5.60E-04
transcription, DNA-templated (GO:0006351)	652	23	8.63	+	2.66	2.97E-05	5.60E-04
JNK cascade (GO:0007254)	85	8	1.13	+	7.11	3.00E-05	5.66E-04
nucleic acid-templated transcription (GO:0097659)	653	23	8.65	+	2.66	3.03E-05	5.72E-04
negative regulation of inflammatory response (GO:0050728)	141	10	1.87	+	5.36	3.07E-05	5.78E-04
negative regulation of binding (GO:0051100)	173	11	2.29	+	4.80	3.20E-05	6.02E-04
monocarboxylic acid metabolic process (GO:0032787)	521	20	6.90	+	2.90	3.22E-05	6.05E-04
tissue development (GO:0009888)	1779	45	23.56	+	1.91	3.26E-05	6.10E-04
regulation of smooth muscle contraction (GO:0006940)	62	7	.82	+	8.53	3.26E-05	6.11E-04
positive regulation of transmembrane transport (GO:0034764)	207	12	2.74	+	4.38	3.33E-05	6.23E-04
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	24	5	.32	+	15.73	3.38E-05	6.31E-04
response to salt stress (GO:0009651)	24	5	.32	+	15.73	3.38E-05	6.30E-04
positive regulation of MHC class II biosynthetic process (GO:0045348)	11	4	.15	+	27.46	3.48E-05	6.48E-04
adhesion of symbiont to host cell (GO:0044650)	11	4	.15	+	27.46	3.48E-05	6.48E-04
positive regulation of heat generation (GO:0031652)	11	4	.15	+	27.46	3.48E-05	6.47E-04
response to peptide (GO:1901652)	481	19	6.37	+	2.98	3.51E-05	6.52E-04
negative regulation of macromolecule biosynthetic process (GO:0010558)	1510	40	19.99	+	2.00	3.55E-05	6.59E-04
cellular iron ion homeostasis (GO:0006879)	63	7	.83	+	8.39	3.58E-05	6.64E-04
regulation of cold-induced thermogenesis (GO:0120161)	144	10	1.91	+	5.24	3.63E-05	6.72E-04
cellular extravasation (GO:0045123)	42	6	.56	+	10.79	3.65E-05	6.75E-04
regulation of collagen metabolic process (GO:0010712)	42	6	.56	+	10.79	3.65E-05	6.75E-04
renal system development (GO:0072001)	281	14	3.72	+	3.76	3.68E-05	6.79E-04
small molecule metabolic process (GO:0044281)	1716	44	22.72	+	1.94	3.75E-05	6.91E-04
RNA biosynthetic process (GO:0032774)	664	23	8.79	+	2.62	3.89E-05	7.16E-04
regulation of heterotypic cell-cell adhesion (GO:0034114)	25	5	.33	+	15.11	4.01E-05	7.37E-04
regulation of membrane protein ectodomain proteolysis (GO:0051043)	25	5	.33	+	15.11	4.01E-05	7.36E-04
negative regulation of cytokine production involved in immune response (GO:0002719)	25	5	.33	+	15.11	4.01E-05	7.35E-04
monocyte chemotaxis (GO:0002548)	43	6	.57	+	10.54	4.12E-05	7.54E-04
organic cyclic compound metabolic process (GO:1901360)	3273	70	43.34	+	1.62	4.17E-05	7.64E-04
regulation of intracellular transport (GO:0032386)	363	16	4.81	+	3.33	4.27E-05	7.81E-04
positive regulation of canonical Wnt signaling pathway (GO:0090263)	147	10	1.95	+	5.14	4.28E-05	7.82E-04
type I interferon biosynthetic process (GO:0045351)	3	3	.04	+	75.53	4.29E-05	7.82E-04
positive regulation of gap junction assembly (GO:1903598)	3	3	.04	+	75.53	4.29E-05	7.81E-04
positive regulation of calcidiol 1-monooxygenase activity (GO:0060559)	3	3	.04	+	75.53	4.29E-05	7.80E-04
positive regulation of vitamin D biosynthetic process (GO:0060557)	3	3	.04	+	75.53	4.29E-05	7.79E-04
positive regulation of interferon-gamma production (GO:0032729)	65	7	.86	+	8.13	4.30E-05	7.81E-04
regulation of steroid metabolic process (GO:0019218)	118	9	1.56	+	5.76	4.51E-05	8.18E-04
positive regulation of cation transmembrane transport (GO:1904064)	148	10	1.96	+	5.10	4.52E-05	8.19E-04
positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343)	12	4	.16	+	25.18	4.59E-05	8.30E-04
adhesion of symbiont to host (GO:0044406)	12	4	.16	+	25.18	4.59E-05	8.29E-04
negative regulation of T cell differentiation (GO:0045581)	44	6	.58	+	10.30	4.63E-05	8.35E-04
neural nucleus development (GO:0048857)	66	7	.87	+	8.01	4.71E-05	8.49E-04
cell aging (GO:0007569)	66	7	.87	+	8.01	4.71E-05	8.48E-04
cellular response to toxic substance (GO:0097237)	215	12	2.85	+	4.22	4.72E-05	8.50E-04
negative regulation of cellular biosynthetic process (GO:0031327)	1569	41	20.77	+	1.97	4.78E-05	8.58E-04
cellular component organization or biogenesis (GO:0071840)	5838	109	77.30	+	1.41	4.96E-05	8.90E-04
negative regulation of lymphocyte activation (GO:0051250)	150	10	1.99	+	5.04	5.03E-05	9.02E-04
membrane organization (GO:0061024)	861	27	11.40	+	2.37	5.04E-05	9.03E-04
regulation of protein localization to cell periphery (GO:1904375)	120	9	1.59	+	5.66	5.10E-05	9.12E-04
peptide secretion (GO:0002790)	183	11	2.42	+	4.54	5.19E-05	9.28E-04
negative regulation of cysteine-type endopeptidase activity (GO:2000117)	93	8	1.23	+	6.50	5.44E-05	9.71E-04
negative regulation of myoblast differentiation (GO:0045662)	27	5	.36	+	13.99	5.54E-05	9.89E-04
leukocyte apoptotic process (GO:0071887)	27	5	.36	+	13.99	5.54E-05	9.87E-04
response to lipoprotein particle (GO:0055094)	27	5	.36	+	13.99	5.54E-05	9.86E-04
positive regulation of hemostasis (GO:1900048)	27	5	.36	+	13.99	5.54E-05	9.85E-04
regulation of necrotic cell death (GO:0010939)	27	5	.36	+	13.99	5.54E-05	9.84E-04
positive regulation of blood coagulation (GO:0030194)	27	5	.36	+	13.99	5.54E-05	9.83E-04
epithelial cell apoptotic process (GO:1904019)	27	5	.36	+	13.99	5.54E-05	9.82E-04
regulation of osteoclast differentiation (GO:0045670)	68	7	.90	+	7.77	5.61E-05	9.92E-04
regulation of acute inflammatory response (GO:0002673)	46	6	.61	+	9.85	5.80E-05	1.02E-03
negative regulation of fat cell differentiation (GO:0045599)	46	6	.61	+	9.85	5.80E-05	1.02E-03
negative regulation of lipid localization (GO:1905953)	46	6	.61	+	9.85	5.80E-05	1.02E-03
regulation of nitric-oxide synthase activity (GO:0050999)	46	6	.61	+	9.85	5.80E-05	1.02E-03
interleukin-12-mediated signaling pathway (GO:0035722)	46	6	.61	+	9.85	5.80E-05	1.02E-03
regulation of autophagy (GO:0010506)	333	15	4.41	+	3.40	5.86E-05	1.03E-03
positive regulation of cell cycle process (GO:0090068)	294	14	3.89	+	3.60	5.87E-05	1.03E-03
positive regulation of chemokine biosynthetic process (GO:0045080)	13	4	.17	+	23.24	5.94E-05	1.04E-03
regulation of heat generation (GO:0031650)	13	4	.17	+	23.24	5.94E-05	1.04E-03
regulation of vitamin metabolic process (GO:0030656)	13	4	.17	+	23.24	5.94E-05	1.04E-03
regulation of fat cell differentiation (GO:0045598)	123	9	1.63	+	5.53	6.10E-05	1.07E-03
negative regulation of immune effector process (GO:0002698)	123	9	1.63	+	5.53	6.10E-05	1.07E-03
negative regulation of transcription, DNA-templated (GO:0045892)	1233	34	16.33	+	2.08	6.16E-05	1.07E-03
negative regulation of hydrolase activity (GO:0051346)	459	18	6.08	+	2.96	6.17E-05	1.08E-03
female pregnancy (GO:0007565)	187	11	2.48	+	4.44	6.24E-05	1.09E-03
positive regulation of cellular catabolic process (GO:0031331)	376	16	4.98	+	3.21	6.37E-05	1.11E-03
positive regulation of coagulation (GO:0050820)	28	5	.37	+	13.49	6.46E-05	1.12E-03
neuron apoptotic process (GO:0051402)	47	6	.62	+	9.64	6.47E-05	1.12E-03
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	124	9	1.64	+	5.48	6.47E-05	1.12E-03
regulation of muscle cell differentiation (GO:0051147)	155	10	2.05	+	4.87	6.52E-05	1.13E-03
peptidyl-amino acid modification (GO:0018193)	878	27	11.63	+	2.32	6.56E-05	1.13E-03
carboxylic acid metabolic process (GO:0019752)	880	27	11.65	+	2.32	6.78E-05	1.17E-03
tissue homeostasis (GO:0001894)	189	11	2.50	+	4.40	6.84E-05	1.18E-03
protein maturation (GO:0051604)	224	12	2.97	+	4.05	6.87E-05	1.18E-03
developmental process involved in reproduction (GO:0003006)	965	29	12.78	+	2.27	7.02E-05	1.21E-03
cellular response to interleukin-12 (GO:0071349)	48	6	.64	+	9.44	7.20E-05	1.24E-03
protein processing (GO:0016485)	157	10	2.08	+	4.81	7.21E-05	1.24E-03
positive regulation of nervous system development (GO:0051962)	554	20	7.34	+	2.73	7.31E-05	1.25E-03
response to cobalamin (GO:0033590)	4	3	.05	+	56.64	7.43E-05	1.27E-03
maintenance of permeability of blood-brain barrier (GO:0035633)	4	3	.05	+	56.64	7.43E-05	1.27E-03
cellular response to hypoxia (GO:0071456)	191	11	2.53	+	4.35	7.48E-05	1.28E-03
response to increased oxygen levels (GO:0036296)	29	5	.38	+	13.02	7.50E-05	1.28E-03
granulocyte differentiation (GO:0030851)	29	5	.38	+	13.02	7.50E-05	1.28E-03
T cell chemotaxis (GO:0010818)	14	4	.19	+	21.58	7.56E-05	1.29E-03
negative regulation of transcription by RNA polymerase II (GO:0000122)	887	27	11.74	+	2.30	7.59E-05	1.29E-03
negative regulation of nucleic acid-templated transcription (GO:1903507)	1287	35	17.04	+	2.05	7.62E-05	1.30E-03
negative regulation of RNA biosynthetic process (GO:1902679)	1289	35	17.07	+	2.05	7.75E-05	1.32E-03
cellular biosynthetic process (GO:0044249)	2772	61	36.70	+	1.66	7.90E-05	1.34E-03
mononuclear cell migration (GO:0071674)	49	6	.65	+	9.25	7.99E-05	1.36E-03
response to interleukin-12 (GO:0070671)	49	6	.65	+	9.25	7.99E-05	1.35E-03
digestive tract development (GO:0048565)	128	9	1.69	+	5.31	8.14E-05	1.38E-03
positive regulation of ion transmembrane transport (GO:0034767)	160	10	2.12	+	4.72	8.37E-05	1.41E-03
positive regulation of gliogenesis (GO:0014015)	73	7	.97	+	7.24	8.49E-05	1.43E-03
positive regulation of epithelial cell proliferation (GO:0050679)	194	11	2.57	+	4.28	8.53E-05	1.44E-03
regulation of DNA binding (GO:0051101)	129	9	1.71	+	5.27	8.61E-05	1.45E-03
central nervous system development (GO:0007417)	986	29	13.06	+	2.22	8.61E-05	1.45E-03
modulation by virus of host morphology or physiology (GO:0019048)	30	5	.40	+	12.59	8.66E-05	1.46E-03
positive regulation of pri-miRNA transcription by RNA polymerase II (GO:1902895)	30	5	.40	+	12.59	8.66E-05	1.45E-03
reproductive structure development (GO:0048608)	429	17	5.68	+	2.99	8.74E-05	1.47E-03
regulation of endothelial cell migration (GO:0010594)	161	10	2.13	+	4.69	8.79E-05	1.47E-03
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	50	6	.66	+	9.06	8.85E-05	1.48E-03
modification by host of symbiont morphology or physiology (GO:0051851)	74	7	.98	+	7.14	9.20E-05	1.54E-03
negative regulation of transforming growth factor beta receptor signaling pathway (GO:0030512)	74	7	.98	+	7.14	9.20E-05	1.54E-03
regulation of systemic arterial blood pressure by circulatory renin-angiotensin (GO:0001991)	15	4	.20	+	20.14	9.48E-05	1.58E-03
positive regulation of killing of cells of other organism (GO:0051712)	15	4	.20	+	20.14	9.48E-05	1.58E-03
transition metal ion homeostasis (GO:0055076)	131	9	1.73	+	5.19	9.62E-05	1.60E-03
negative regulation of phosphate metabolic process (GO:0045936)	566	20	7.49	+	2.67	9.67E-05	1.61E-03
heterocycle metabolic process (GO:0046483)	2993	64	39.63	+	1.61	9.68E-05	1.61E-03
regulation of cation transmembrane transport (GO:1904062)	349	15	4.62	+	3.25	9.69E-05	1.61E-03
reproductive system development (GO:0061458)	433	17	5.73	+	2.97	9.74E-05	1.62E-03
response to nicotine (GO:0035094)	51	6	.68	+	8.89	9.79E-05	1.62E-03
negative regulation of phosphorus metabolic process (GO:0010563)	567	20	7.51	+	2.66	9.90E-05	1.64E-03
positive regulation of monooxygenase activity (GO:0032770)	31	5	.41	+	12.18	9.95E-05	1.64E-03
positive regulation of T cell migration (GO:2000406)	31	5	.41	+	12.18	9.95E-05	1.64E-03
negative regulation of lymphocyte apoptotic process (GO:0070229)	31	5	.41	+	12.18	9.95E-05	1.64E-03
response to interferon-beta (GO:0035456)	31	5	.41	+	12.18	9.95E-05	1.64E-03
regulation of type 2 immune response (GO:0002828)	31	5	.41	+	12.18	9.95E-05	1.64E-03
protein secretion (GO:0009306)	164	10	2.17	+	4.61	1.02E-04	1.67E-03
cellular aromatic compound metabolic process (GO:0006725)	3038	65	40.22	+	1.62	1.04E-04	1.70E-03
defense response to Gram-positive bacterium (GO:0050830)	103	8	1.36	+	5.87	1.06E-04	1.74E-03
establishment of protein localization to extracellular region (GO:0035592)	165	10	2.18	+	4.58	1.06E-04	1.75E-03
negative regulation of cellular response to transforming growth factor beta stimulus (GO:1903845)	76	7	1.01	+	6.96	1.07E-04	1.76E-03
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1427	37	18.89	+	1.96	1.09E-04	1.78E-03
regulation of transmembrane transport (GO:0034762)	572	20	7.57	+	2.64	1.11E-04	1.81E-03
negative regulation of protein binding (GO:0032091)	104	8	1.38	+	5.81	1.13E-04	1.85E-03
regulation of glial cell proliferation (GO:0060251)	32	5	.42	+	11.80	1.14E-04	1.86E-03
regulation of T cell cytokine production (GO:0002724)	32	5	.42	+	11.80	1.14E-04	1.85E-03
system process (GO:0003008)	1974	47	26.14	+	1.80	1.14E-04	1.86E-03
cellular response to decreased oxygen levels (GO:0036294)	201	11	2.66	+	4.13	1.15E-04	1.87E-03
regulation of cell shape (GO:0008360)	167	10	2.21	+	4.52	1.17E-04	1.90E-03
positive regulation of heterotypic cell-cell adhesion (GO:0034116)	16	4	.21	+	18.88	1.17E-04	1.90E-03
positive regulation of execution phase of apoptosis (GO:1900119)	16	4	.21	+	18.88	1.17E-04	1.90E-03
negative regulation of necrotic cell death (GO:0060547)	16	4	.21	+	18.88	1.17E-04	1.90E-03
renal control of peripheral vascular resistance involved in regulation of systemic arterial blood pressure (GO:0003072)	5	3	.07	+	45.32	1.18E-04	1.91E-03
positive regulation of vitamin metabolic process (GO:0046136)	5	3	.07	+	45.32	1.18E-04	1.90E-03
receptor biosynthetic process (GO:0032800)	5	3	.07	+	45.32	1.18E-04	1.90E-03
positive regulation of interleukin-23 production (GO:0032747)	5	3	.07	+	45.32	1.18E-04	1.90E-03
regulation of blood vessel diameter by renin-angiotensin (GO:0002034)	5	3	.07	+	45.32	1.18E-04	1.90E-03
myeloid cell apoptotic process (GO:0033028)	5	3	.07	+	45.32	1.18E-04	1.90E-03
negative regulation of lymphocyte differentiation (GO:0045620)	53	6	.70	+	8.55	1.19E-04	1.91E-03
regulation of interleukin-10 production (GO:0032653)	53	6	.70	+	8.55	1.19E-04	1.91E-03
response to bronchodilator (GO:0097366)	53	6	.70	+	8.55	1.19E-04	1.91E-03
natural killer cell activation (GO:0030101)	53	6	.70	+	8.55	1.19E-04	1.91E-03
regulation of mRNA catabolic process (GO:0061013)	202	11	2.67	+	4.11	1.20E-04	1.92E-03
urogenital system development (GO:0001655)	316	14	4.18	+	3.35	1.22E-04	1.95E-03
response to osmotic stress (GO:0006970)	78	7	1.03	+	6.78	1.25E-04	2.00E-03
positive regulation of neurogenesis (GO:0050769)	487	18	6.45	+	2.79	1.27E-04	2.02E-03
peptide hormone processing (GO:0016486)	33	5	.44	+	11.44	1.30E-04	2.07E-03
regulation of macrophage activation (GO:0043030)	54	6	.71	+	8.39	1.31E-04	2.08E-03
regulation of cell development (GO:0060284)	961	28	12.72	+	2.20	1.32E-04	2.10E-03
macromolecule biosynthetic process (GO:0009059)	1774	43	23.49	+	1.83	1.32E-04	2.10E-03
interaction with symbiont (GO:0051702)	79	7	1.05	+	6.69	1.34E-04	2.14E-03
homeostasis of number of cells (GO:0048872)	205	11	2.71	+	4.05	1.36E-04	2.15E-03
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	107	8	1.42	+	5.65	1.36E-04	2.16E-03
regulation of intracellular protein transport (GO:0033157)	243	12	3.22	+	3.73	1.43E-04	2.26E-03
positive regulation of membrane protein ectodomain proteolysis (GO:0051044)	17	4	.23	+	17.77	1.43E-04	2.27E-03
interleukin-6-mediated signaling pathway (GO:0070102)	17	4	.23	+	17.77	1.43E-04	2.27E-03
regulation of T cell chemotaxis (GO:0010819)	17	4	.23	+	17.77	1.43E-04	2.26E-03
positive regulation of humoral immune response (GO:0002922)	17	4	.23	+	17.77	1.43E-04	2.26E-03
regulation of cytokine secretion involved in immune response (GO:0002739)	17	4	.23	+	17.77	1.43E-04	2.26E-03
response to gamma radiation (GO:0010332)	55	6	.73	+	8.24	1.43E-04	2.26E-03
regulation of cellular response to oxidative stress (GO:1900407)	80	7	1.06	+	6.61	1.45E-04	2.27E-03
iron ion homeostasis (GO:0055072)	80	7	1.06	+	6.61	1.45E-04	2.27E-03
protein localization to extracellular region (GO:0071692)	172	10	2.28	+	4.39	1.47E-04	2.31E-03
regulation of T-helper cell differentiation (GO:0045622)	34	5	.45	+	11.11	1.47E-04	2.31E-03
response to ATP (GO:0033198)	34	5	.45	+	11.11	1.47E-04	2.31E-03
oxoacid metabolic process (GO:0043436)	972	28	12.87	+	2.18	1.51E-04	2.36E-03
transcription by RNA polymerase II (GO:0006366)	495	18	6.55	+	2.75	1.54E-04	2.41E-03
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043280)	140	9	1.85	+	4.86	1.55E-04	2.42E-03
digestive system development (GO:0055123)	140	9	1.85	+	4.86	1.55E-04	2.42E-03
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	81	7	1.07	+	6.53	1.55E-04	2.42E-03
neuron death (GO:0070997)	56	6	.74	+	8.09	1.57E-04	2.45E-03
long-chain fatty acid metabolic process (GO:0001676)	110	8	1.46	+	5.49	1.63E-04	2.53E-03
negative regulation of cell cycle G1/S phase transition (GO:1902807)	110	8	1.46	+	5.49	1.63E-04	2.53E-03
regulation of type I interferon-mediated signaling pathway (GO:0060338)	35	5	.46	+	10.79	1.66E-04	2.58E-03
disruption of cells of other organism (GO:0044364)	82	7	1.09	+	6.45	1.67E-04	2.59E-03
killing of cells of other organism (GO:0031640)	82	7	1.09	+	6.45	1.67E-04	2.59E-03
response to UV (GO:0009411)	142	9	1.88	+	4.79	1.71E-04	2.65E-03
positive regulation of oxidoreductase activity (GO:0051353)	57	6	.75	+	7.95	1.72E-04	2.66E-03
positive regulation of protein tyrosine kinase activity (GO:0061098)	57	6	.75	+	7.95	1.72E-04	2.65E-03
dendritic cell chemotaxis (GO:0002407)	18	4	.24	+	16.78	1.73E-04	2.68E-03
prostaglandin biosynthetic process (GO:0001516)	18	4	.24	+	16.78	1.73E-04	2.67E-03
regulation of killing of cells of other organism (GO:0051709)	18	4	.24	+	16.78	1.73E-04	2.67E-03
membrane protein intracellular domain proteolysis (GO:0031293)	18	4	.24	+	16.78	1.73E-04	2.67E-03
regulation of B cell apoptotic process (GO:0002902)	18	4	.24	+	16.78	1.73E-04	2.67E-03
prostanoid biosynthetic process (GO:0046457)	18	4	.24	+	16.78	1.73E-04	2.66E-03
inflammatory cell apoptotic process (GO:0006925)	6	3	.08	+	37.76	1.75E-04	2.69E-03
B cell lineage commitment (GO:0002326)	6	3	.08	+	37.76	1.75E-04	2.68E-03
positive regulation of natural killer cell chemotaxis (GO:2000503)	6	3	.08	+	37.76	1.75E-04	2.68E-03
negative regulation of macrophage apoptotic process (GO:2000110)	6	3	.08	+	37.76	1.75E-04	2.68E-03
peptidyl-cysteine S-nitrosylation (GO:0018119)	6	3	.08	+	37.76	1.75E-04	2.68E-03
protein nitrosylation (GO:0017014)	6	3	.08	+	37.76	1.75E-04	2.67E-03
cytoplasmic pattern recognition receptor signaling pathway in response to virus (GO:0039528)	6	3	.08	+	37.76	1.75E-04	2.67E-03
negative regulation of cell cycle process (GO:0010948)	328	14	4.34	+	3.22	1.77E-04	2.69E-03
positive regulation of small molecule metabolic process (GO:0062013)	143	9	1.89	+	4.75	1.80E-04	2.74E-03
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	112	8	1.48	+	5.39	1.83E-04	2.78E-03
regulation of cell cycle phase transition (GO:1901987)	458	17	6.06	+	2.80	1.86E-04	2.82E-03
endocytosis (GO:0006897)	549	19	7.27	+	2.61	1.87E-04	2.84E-03
positive regulation of organic acid transport (GO:0032892)	36	5	.48	+	10.49	1.87E-04	2.85E-03
regulation of isotype switching (GO:0045191)	36	5	.48	+	10.49	1.87E-04	2.84E-03
negative regulation of production of molecular mediator of immune response (GO:0002701)	36	5	.48	+	10.49	1.87E-04	2.84E-03
regulation of blood circulation (GO:1903522)	290	13	3.84	+	3.39	1.90E-04	2.88E-03
response to temperature stimulus (GO:0009266)	178	10	2.36	+	4.24	1.91E-04	2.90E-03
positive regulation of endopeptidase activity (GO:0010950)	178	10	2.36	+	4.24	1.91E-04	2.89E-03
maintenance of protein location (GO:0045185)	113	8	1.50	+	5.35	1.93E-04	2.92E-03
negative regulation of neuron death (GO:1901215)	214	11	2.83	+	3.88	1.94E-04	2.92E-03
negative regulation of defense response (GO:0031348)	214	11	2.83	+	3.88	1.94E-04	2.92E-03
negative regulation of leukocyte activation (GO:0002695)	179	10	2.37	+	4.22	2.00E-04	3.01E-03
regulation of vesicle-mediated transport (GO:0060627)	553	19	7.32	+	2.59	2.04E-04	3.07E-03
renal system process (GO:0003014)	114	8	1.51	+	5.30	2.05E-04	3.08E-03
regulation of cellular response to transforming growth factor beta stimulus (GO:1903844)	114	8	1.51	+	5.30	2.05E-04	3.07E-03
regulation of membrane permeability (GO:0090559)	85	7	1.13	+	6.22	2.05E-04	3.07E-03
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	85	7	1.13	+	6.22	2.05E-04	3.07E-03
positive regulation of lymphocyte apoptotic process (GO:0070230)	19	4	.25	+	15.90	2.08E-04	3.11E-03
astrocyte activation (GO:0048143)	19	4	.25	+	15.90	2.08E-04	3.11E-03
negative regulation of T cell mediated immunity (GO:0002710)	19	4	.25	+	15.90	2.08E-04	3.10E-03
cell cycle arrest (GO:0007050)	146	9	1.93	+	4.66	2.08E-04	3.11E-03
regulation of mRNA stability (GO:0043488)	180	10	2.38	+	4.20	2.09E-04	3.11E-03
inflammatory response to antigenic stimulus (GO:0002437)	37	5	.49	+	10.21	2.11E-04	3.14E-03
regulation of collagen biosynthetic process (GO:0032965)	37	5	.49	+	10.21	2.11E-04	3.13E-03
regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	37	5	.49	+	10.21	2.11E-04	3.13E-03
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	37	5	.49	+	10.21	2.11E-04	3.13E-03
gene expression (GO:0010467)	2031	47	26.89	+	1.75	2.13E-04	3.16E-03
negative regulation of protein modification process (GO:0031400)	602	20	7.97	+	2.51	2.13E-04	3.16E-03
regulation of supramolecular fiber organization (GO:1902903)	377	15	4.99	+	3.00	2.17E-04	3.22E-03
cell killing (GO:0001906)	116	8	1.54	+	5.21	2.29E-04	3.39E-03
regulation of animal organ morphogenesis (GO:2000027)	257	12	3.40	+	3.53	2.34E-04	3.46E-03
positive regulation of protein-containing complex assembly (GO:0031334)	257	12	3.40	+	3.53	2.34E-04	3.46E-03
multi-multicellular organism process (GO:0044706)	219	11	2.90	+	3.79	2.34E-04	3.45E-03
positive regulation of lipid localization (GO:1905954)	87	7	1.15	+	6.08	2.34E-04	3.46E-03
regulation of signal transduction by p53 class mediator (GO:1901796)	183	10	2.42	+	4.13	2.37E-04	3.49E-03
positive regulation of Wnt signaling pathway (GO:0030177)	183	10	2.42	+	4.13	2.37E-04	3.48E-03
cellular lipid metabolic process (GO:0044255)	949	27	12.57	+	2.15	2.37E-04	3.48E-03
regulation of organic acid transport (GO:0032890)	61	6	.81	+	7.43	2.41E-04	3.55E-03
negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556)	61	6	.81	+	7.43	2.41E-04	3.54E-03
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	20	4	.26	+	15.11	2.47E-04	3.62E-03
regulation of programmed necrotic cell death (GO:0062098)	20	4	.26	+	15.11	2.47E-04	3.61E-03
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	20	4	.26	+	15.11	2.47E-04	3.61E-03
SMAD protein complex assembly (GO:0007183)	7	3	.09	+	32.37	2.47E-04	3.62E-03
fusion of virus membrane with host plasma membrane (GO:0019064)	7	3	.09	+	32.37	2.47E-04	3.62E-03
multi-organism membrane fusion (GO:0044800)	7	3	.09	+	32.37	2.47E-04	3.61E-03
membrane fusion involved in viral entry into host cell (GO:0039663)	7	3	.09	+	32.37	2.47E-04	3.61E-03
response to vitamin (GO:0033273)	88	7	1.17	+	6.01	2.50E-04	3.65E-03
female gonad development (GO:0008585)	88	7	1.17	+	6.01	2.50E-04	3.64E-03
positive regulation of lipid metabolic process (GO:0045834)	150	9	1.99	+	4.53	2.52E-04	3.66E-03
positive regulation of cell development (GO:0010720)	563	19	7.45	+	2.55	2.54E-04	3.69E-03
positive regulation of blood pressure (GO:0045777)	39	5	.52	+	9.68	2.63E-04	3.82E-03
membrane protein proteolysis (GO:0033619)	39	5	.52	+	9.68	2.63E-04	3.82E-03
receptor signaling pathway via STAT (GO:0097696)	39	5	.52	+	9.68	2.63E-04	3.81E-03
intrinsic apoptotic signaling pathway (GO:0097193)	151	9	2.00	+	4.50	2.64E-04	3.82E-03
response to fatty acid (GO:0070542)	89	7	1.18	+	5.94	2.67E-04	3.86E-03
regulation of protein tyrosine kinase activity (GO:0061097)	89	7	1.18	+	5.94	2.67E-04	3.86E-03
regulation of response to oxidative stress (GO:1902882)	89	7	1.18	+	5.94	2.67E-04	3.85E-03
negative regulation of cell growth (GO:0030308)	186	10	2.46	+	4.06	2.68E-04	3.86E-03
cofactor metabolic process (GO:0051186)	429	16	5.68	+	2.82	2.72E-04	3.91E-03
cellular response to hormone stimulus (GO:0032870)	615	20	8.14	+	2.46	2.79E-04	4.02E-03
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	521	18	6.90	+	2.61	2.81E-04	4.04E-03
ossification (GO:0001503)	263	12	3.48	+	3.45	2.86E-04	4.11E-03
reproductive process (GO:0022414)	1434	36	18.99	+	1.90	2.89E-04	4.15E-03
negative regulation of immune response (GO:0050777)	153	9	2.03	+	4.44	2.89E-04	4.15E-03
positive regulation of T-helper cell differentiation (GO:0045624)	21	4	.28	+	14.39	2.91E-04	4.17E-03
cellular response to interferon-beta (GO:0035458)	21	4	.28	+	14.39	2.91E-04	4.16E-03
positive regulation of tumor necrosis factor secretion (GO:1904469)	21	4	.28	+	14.39	2.91E-04	4.16E-03
negative regulation of endothelial cell proliferation (GO:0001937)	40	5	.53	+	9.44	2.93E-04	4.19E-03
positive regulation of response to endoplasmic reticulum stress (GO:1905898)	40	5	.53	+	9.44	2.93E-04	4.18E-03
regulation of macrophage migration (GO:1905521)	40	5	.53	+	9.44	2.93E-04	4.18E-03
regulation of defense response to virus by host (GO:0050691)	40	5	.53	+	9.44	2.93E-04	4.17E-03
