##Databases: PANTHER, KEGG PATHWAY, Reactome, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
AKT phosphorylates targets in the nucleus	Reactome	R-HSA-198693	1	9	0.0208808300864	0.0305545924896	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198693
Integration of provirus	Reactome	R-HSA-162592	1	9	0.0208808300864	0.0305545924896	PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162592
Lipophagy	Reactome	R-HSA-9613354	1	9	0.0208808300864	0.0305545924896	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9613354
CHL1 interactions	Reactome	R-HSA-447041	1	9	0.0208808300864	0.0305545924896	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-447041
PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1	Reactome	R-HSA-8849469	1	9	0.0208808300864	0.0305545924896	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849469
Interleukin-9 signaling	Reactome	R-HSA-8985947	1	9	0.0208808300864	0.0305545924896	STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8985947
PI5P Regulates TP53 Acetylation	Reactome	R-HSA-6811555	1	9	0.0208808300864	0.0305545924896	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6811555
RHO GTPases Activate Rhotekin and Rhophilins	Reactome	R-HSA-5666185	1	9	0.0208808300864	0.0305545924896	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5666185
ATF6 (ATF6-alpha) activates chaperone genes	Reactome	R-HSA-381183	1	9	0.0208808300864	0.0305545924896	HSP90B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381183
Regulation of PTEN localization	Reactome	R-HSA-8948747	1	9	0.0208808300864	0.0305545924896	USP7	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8948747
PI3K/AKT activation	Reactome	R-HSA-198203	1	9	0.0208808300864	0.0305545924896	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198203
C20 prostanoid biosynthesis	BioCyc	PWY66-374	1	9	0.0208808300864	0.0305545924896	PTGS2	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-374
Pyrimidine Metabolism	PANTHER	P02771	1	10	0.0229449819673	0.0331326748829	CDA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02771
@@Pyrimidine metabolism	KEGG PATHWAY	hsa00240	1	57	0.115243880495	0.124195961674	CDA	http://www.genome.jp/kegg-bin/show_pathway?hsa00240/hsa:978%09red
Regulation by c-FLIP	Reactome	R-HSA-3371378	1	10	0.0229449819673	0.0331326748829	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371378
p75NTR regulates axonogenesis	Reactome	R-HSA-193697	1	10	0.0229449819673	0.0331326748829	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-193697
Interleukin-21 signaling	Reactome	R-HSA-9020958	1	10	0.0229449819673	0.0331326748829	STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020958
Activation of PPARGC1A (PGC-1alpha) by phosphorylation	Reactome	R-HSA-2151209	1	10	0.0229449819673	0.0331326748829	MAPK14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2151209
Alpha-defensins	Reactome	R-HSA-1462054	1	10	0.0229449819673	0.0331326748829	CD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1462054
Acetylcholine regulates insulin secretion	Reactome	R-HSA-399997	1	10	0.0229449819673	0.0331326748829	PRKCA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-399997
Dimerization of procaspase-8	Reactome	R-HSA-69416	1	10	0.0229449819673	0.0331326748829	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-69416
CASP8 activity is inhibited	Reactome	R-HSA-5218900	1	10	0.0229449819673	0.0331326748829	FAS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218900
purine nucleotides degradation	BioCyc	PWY-6353	1	10	0.0229449819673	0.0331326748829	IMPDH1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-6353
Pre-NOTCH Expression and Processing	Reactome	R-HSA-1912422	2	109	0.0231637940782	0.0334046293548	TP53|E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1912422
Metabolism of carbohydrates	Reactome	R-HSA-71387	3	288	0.0239436669487	0.0344839145542	HPSE|CD44|GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-71387
Alzheimer disease-presenilin pathway	PANTHER	P00004	2	112	0.024339309832	0.0350077212282	CD44|ADAM17	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00004
Salvage pyrimidine ribonucleotides	PANTHER	P02775	1	11	0.0250048187519	0.0354073402482	CDA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02775
ATF6 (ATF6-alpha) activates chaperones	Reactome	R-HSA-381033	1	11	0.0250048187519	0.0354073402482	HSP90B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-381033
NOTCH4 Activation and Transmission of Signal to the Nucleus	Reactome	R-HSA-9013700	1	11	0.0250048187519	0.0354073402482	ADAM10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013700
Interleukin-27 signaling	Reactome	R-HSA-9020956	1	11	0.0250048187519	0.0354073402482	STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020956
Pyrimidine salvage	Reactome	R-HSA-73614	1	11	0.0250048187519	0.0354073402482	CDA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73614
Mucopolysaccharidoses	Reactome	R-HSA-2206281	1	11	0.0250048187519	0.0354073402482	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2206281
SUMOylation of immune response proteins	Reactome	R-HSA-4755510	1	11	0.0250048187519	0.0354073402482	IKBKE	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4755510
CDC6 association with the ORC:origin complex	Reactome	R-HSA-68689	1	11	0.0250048187519	0.0354073402482	E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-68689
RHO GTPases activate KTN1	Reactome	R-HSA-5625970	1	11	0.0250048187519	0.0354073402482	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5625970
Regulation of localization of FOXO transcription factors	Reactome	R-HSA-9614399	1	11	0.0250048187519	0.0354073402482	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9614399
Calcineurin activates NFAT	Reactome	R-HSA-2025928	1	11	0.0250048187519	0.0354073402482	PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2025928
reactive oxygen species degradation	BioCyc	DETOX1-PWY-1	1	11	0.0250048187519	0.0354073402482	SOD1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=DETOX1-PWY-1
Organelle biogenesis and maintenance	Reactome	R-HSA-1852241	3	294	0.0252327214942	0.0356839519454	MAPK14|TUBB4|CYCS	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1852241
Meiosis	Reactome	R-HSA-1500620	2	116	0.0259439126719	0.0366424333613	CDK2|CDK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1500620
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	PANTHER	P00027	2	118	0.0267619485594	0.0374471501587	PRKCA|RHOA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00027
Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation	Reactome	R-HSA-1474151	1	12	0.0270603493847	0.0374471501587	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474151
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism	Reactome	R-HSA-2046104	1	12	0.0270603493847	0.0374471501587	ACAA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2046104
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane	Reactome	R-HSA-83936	1	12	0.0270603493847	0.0374471501587	SLC25A4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-83936
Purine ribonucleoside monophosphate biosynthesis	Reactome	R-HSA-73817	1	12	0.0270603493847	0.0374471501587	IMPDH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-73817
p38MAPK events	Reactome	R-HSA-171007	1	12	0.0270603493847	0.0374471501587	MAPK14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-171007
NOTCH2 intracellular domain regulates transcription	Reactome	R-HSA-2197563	1	12	0.0270603493847	0.0374471501587	FCER2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2197563
Regulation of IFNG signaling	Reactome	R-HSA-877312	1	12	0.0270603493847	0.0374471501587	IFNG	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-877312
Interleukin-2 signaling	Reactome	R-HSA-9020558	1	12	0.0270603493847	0.0374471501587	IL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9020558
Downregulation of ERBB2:ERBB3 signaling	Reactome	R-HSA-1358803	1	12	0.0270603493847	0.0374471501587	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1358803
TP53 Regulates Transcription of Caspase Activators and Caspases	Reactome	R-HSA-6803207	1	12	0.0270603493847	0.0374471501587	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803207
Caspase-mediated cleavage of cytoskeletal proteins	Reactome	R-HSA-264870	1	12	0.0270603493847	0.0374471501587	VIM	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-264870
Interleukin-35 Signalling	Reactome	R-HSA-8984722	1	12	0.0270603493847	0.0374471501587	STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8984722
alpha-linolenic acid (ALA) metabolism	Reactome	R-HSA-2046106	1	12	0.0270603493847	0.0374471501587	ACAA1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2046106
Hyaluronan uptake and degradation	Reactome	R-HSA-2160916	1	12	0.0270603493847	0.0374471501587	CD44	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2160916
guanosine ribonucleotides de novo biosynthesis	BioCyc	PWY-7221	1	12	0.0270603493847	0.0374471501587	IMPDH1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7221
Asparagine N-linked glycosylation	Reactome	R-HSA-446203	3	304	0.0274628623056	0.0379562384451	ARF1|TUBB4|GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-446203
Antigen processing: Ubiquitination & Proteasome degradation	Reactome	R-HSA-983168	3	308	0.0283834722624	0.039179201007	STUB1|PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-983168
Golgi Cisternae Pericentriolar Stack Reorganization	Reactome	R-HSA-162658	1	13	0.0291115827917	0.0397338664255	MAPK1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-162658
TNFR1-induced proapoptotic signaling	Reactome	R-HSA-5357786	1	13	0.0291115827917	0.0397338664255	TNF	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5357786
eNOS activation	Reactome	R-HSA-203615	1	13	0.0291115827917	0.0397338664255	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-203615
p75NTR recruits signalling complexes	Reactome	R-HSA-209543	1	13	0.0291115827917	0.0397338664255	MYD88	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209543
Keratan sulfate degradation	Reactome	R-HSA-2022857	1	13	0.0291115827917	0.0397338664255	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022857
Depolymerisation of the Nuclear Lamina	Reactome	R-HSA-4419969	1	13	0.0291115827917	0.0397338664255	PRKCA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-4419969
Signaling by Activin	Reactome	R-HSA-1502540	1	13	0.0291115827917	0.0397338664255	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1502540
NF-kB is activated and signals survival	Reactome	R-HSA-209560	1	13	0.0291115827917	0.0397338664255	NFKB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-209560
Trafficking of GluR2-containing AMPA receptors	Reactome	R-HSA-416993	1	13	0.0291115827917	0.0397338664255	PRKCA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416993
RUNX3 regulates NOTCH signaling	Reactome	R-HSA-8941856	1	14	0.0311585278805	0.0422645378181	RUNX3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8941856
PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	Reactome	R-HSA-8849471	1	14	0.0311585278805	0.0422645378181	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8849471
Attenuation phase	Reactome	R-HSA-3371568	1	14	0.0311585278805	0.0422645378181	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3371568
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain	Reactome	R-HSA-6803205	1	14	0.0311585278805	0.0422645378181	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6803205
AKT phosphorylates targets in the cytosol	Reactome	R-HSA-198323	1	14	0.0311585278805	0.0422645378181	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-198323
RUNX1 regulates transcription of genes involved in differentiation of HSCs	Reactome	R-HSA-8939236	2	129	0.0314435724496	0.0425984615634	PSMD1|PSMD2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8939236
Glycosphingolipid biosynthesis - ganglio series	KEGG PATHWAY	hsa00604	1	15	0.0332011935405	0.0445105026835	GLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00604/hsa:2720%09red
Signaling by cytosolic FGFR1 fusion mutants	Reactome	R-HSA-1839117	1	15	0.0332011935405	0.0445105026835	STAT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1839117
The NLRP3 inflammasome	Reactome	R-HSA-844456	1	15	0.0332011935405	0.0445105026835	NFKB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-844456
WNT5A-dependent internalization of FZD4	Reactome	R-HSA-5099900	1	15	0.0332011935405	0.0445105026835	PRKCA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5099900
Signaling by NTRK3 (TRKC)	Reactome	R-HSA-9034015	1	15	0.0332011935405	0.0445105026835	BAX	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9034015
Nucleobase biosynthesis	Reactome	R-HSA-8956320	1	15	0.0332011935405	0.0445105026835	IMPDH1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8956320
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	Reactome	R-HSA-2162123	1	15	0.0332011935405	0.0445105026835	PTGS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2162123
guanosine nucleotides de novo biosynthesis	BioCyc	PWY-7228	1	15	0.0332011935405	0.0445105026835	IMPDH1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7228
Golgi-to-ER retrograde transport	Reactome	R-HSA-8856688	2	133	0.0332204299225	0.0445105026835	ARF1|TUBB4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8856688
RHO GTPases Activate Formins	Reactome	R-HSA-5663220	2	136	0.034578366679	0.0462733698171	TUBB4|RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5663220
Ubiquitin mediated proteolysis	KEGG PATHWAY	hsa04120	2	137	0.0350357664694	0.0467020425061	STUB1|BIRC3	http://www.genome.jp/kegg-bin/show_pathway?hsa04120/hsa:10273%09red/hsa:330%09red
Chaperone Mediated Autophagy	Reactome	R-HSA-9613829	1	16	0.0352395886428	0.0467020425061	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9613829
NRIF signals cell death from the nucleus	Reactome	R-HSA-205043	1	16	0.0352395886428	0.0467020425061	MAPK8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-205043
MAP3K8 (TPL2)-dependent MAPK1/3 activation	Reactome	R-HSA-5684264	1	16	0.0352395886428	0.0467020425061	NFKB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5684264
Biosynthesis of DHA-derived SPMs	Reactome	R-HSA-9018677	1	16	0.0352395886428	0.0467020425061	PTGS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018677
Assembly Of The HIV Virion	Reactome	R-HSA-175474	1	16	0.0352395886428	0.0467020425061	PPIA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-175474
Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	Reactome	R-HSA-1362300	1	16	0.0352395886428	0.0467020425061	E2F1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1362300
superpathway of pyrimidine deoxyribonucleoside salvage	BioCyc	PWY-7200	1	16	0.0352395886428	0.0467020425061	CDA	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-7200
Reproduction	Reactome	R-HSA-1474165	2	141	0.0368888215892	0.048828681717	CDK2|CDK4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1474165
SUMOylation of transcription factors	Reactome	R-HSA-3232118	1	17	0.0372737220403	0.0489832126572	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3232118
Hyaluronan metabolism	Reactome	R-HSA-2142845	1	17	0.0372737220403	0.0489832126572	CD44	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2142845
Metabolism of nitric oxide: eNOS activation and regulation	Reactome	R-HSA-202131	1	17	0.0372737220403	0.0489832126572	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202131
FOXO-mediated transcription of cell cycle genes	Reactome	R-HSA-9617828	1	17	0.0372737220403	0.0489832126572	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9617828
Platelet sensitization by LDL	Reactome	R-HSA-432142	1	17	0.0372737220403	0.0489832126572	MAPK14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-432142
Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	Reactome	R-HSA-450385	1	17	0.0372737220403	0.0489832126572	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-450385
Other glycan degradation	KEGG PATHWAY	hsa00511	1	18	0.0393036025675	0.0510388014384	GLB1	http://www.genome.jp/kegg-bin/show_pathway?hsa00511/hsa:2720%09red
Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	Reactome	R-HSA-190840	1	18	0.0393036025675	0.0510388014384	TUBB4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190840
Biosynthesis of specialized proresolving mediators (SPMs)	Reactome	R-HSA-9018678	1	18	0.0393036025675	0.0510388014384	PTGS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018678
Diseases associated with glycosylation precursor biosynthesis	Reactome	R-HSA-5609975	1	18	0.0393036025675	0.0510388014384	GLB1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5609975
Synthesis of PIPs at the Golgi membrane	Reactome	R-HSA-1660514	1	18	0.0393036025675	0.0510388014384	ARF1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1660514
Translocation of ZAP-70 to Immunological synapse	Reactome	R-HSA-202430	1	18	0.0393036025675	0.0510388014384	CD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202430
GABA synthesis, release, reuptake and degradation	Reactome	R-HSA-888590	1	18	0.0393036025675	0.0510388014384	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-888590
Metabolism of Angiotensinogen to Angiotensins	Reactome	R-HSA-2022377	1	18	0.0393036025675	0.0510388014384	ANPEP	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2022377
Signalling to RAS	Reactome	R-HSA-167044	1	18	0.0393036025675	0.0510388014384	MAPK14	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-167044
Estrogen-dependent gene expression	Reactome	R-HSA-9018519	2	149	0.0407050948086	0.0527961939766	MYC|BCL2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9018519
Axon guidance mediated by semaphorins	PANTHER	P00007	1	19	0.0413292390411	0.0529168761554	RHOA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00007
Transport of connexons to the plasma membrane	Reactome	R-HSA-190872	1	19	0.0413292390411	0.0529168761554	TUBB4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-190872
Regulation of gene expression in beta cells	Reactome	R-HSA-210745	1	19	0.0413292390411	0.0529168761554	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-210745
RHO GTPases Activate ROCKs	Reactome	R-HSA-5627117	1	19	0.0413292390411	0.0529168761554	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5627117
Protein methylation	Reactome	R-HSA-8876725	1	19	0.0413292390411	0.0529168761554	HSPA8	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8876725
RHO GTPases activate CIT	Reactome	R-HSA-5625900	1	19	0.0413292390411	0.0529168761554	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5625900
VEGFR2 mediated cell proliferation	Reactome	R-HSA-5218921	1	19	0.0413292390411	0.0529168761554	PRKCA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-5218921
Regulation of TP53 Activity through Methylation	Reactome	R-HSA-6804760	1	19	0.0413292390411	0.0529168761554	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804760
Scavenging by Class A Receptors	Reactome	R-HSA-3000480	1	19	0.0413292390411	0.0529168761554	HSP90B1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-3000480
Nicotinamide salvaging	Reactome	R-HSA-197264	1	19	0.0413292390411	0.0529168761554	PTGS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-197264
Processing of Intronless Pre-mRNAs	Reactome	R-HSA-77595	1	19	0.0413292390411	0.0529168761554	PABPN1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-77595
ER to Golgi Anterograde Transport	Reactome	R-HSA-199977	2	154	0.0431627388052	0.0550548108044	ARF1|TUBB4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-199977
TICAM1, RIP1-mediated IKK complex recruitment 	Reactome	R-HSA-168927	1	20	0.0433506402593	0.0550548108044	BIRC3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-168927
Signaling by NODAL	Reactome	R-HSA-1181150	1	20	0.0433506402593	0.0550548108044	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-1181150
NOTCH4 Intracellular Domain Regulates Transcription	Reactome	R-HSA-9013695	1	20	0.0433506402593	0.0550548108044	SMAD3	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-9013695
Sema4D induced cell migration and growth-cone collapse	Reactome	R-HSA-416572	1	20	0.0433506402593	0.0550548108044	RHOA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-416572
Metabolism of cofactors	Reactome	R-HSA-8978934	1	20	0.0433506402593	0.0550548108044	AKT1	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8978934
TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain	Reactome	R-HSA-6804115	1	20	0.0433506402593	0.0550548108044	TP53	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-6804115
Arginine biosynthesis	KEGG PATHWAY	hsa00220	1	21	0.0453678150025	0.0574170037446	NOS2	http://www.genome.jp/kegg-bin/show_pathway?hsa00220/hsa:4843%09red
Phosphorylation of CD3 and TCR zeta chains	Reactome	R-HSA-202427	1	21	0.0453678150025	0.0574170037446	CD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-202427
Nitric oxide stimulates guanylate cyclase	Reactome	R-HSA-392154	1	21	0.0453678150025	0.0574170037446	NOS2	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-392154
NOTCH2 Activation and Transmission of Signal to the Nucleus	Reactome	R-HSA-2979096	1	22	0.047380772033	0.0596203514905	ADAM10	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-2979096
PD-1 signaling	Reactome	R-HSA-389948	1	22	0.047380772033	0.0596203514905	CD4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389948
Post-chaperonin tubulin folding pathway	Reactome	R-HSA-389977	1	22	0.047380772033	0.0596203514905	TUBB4	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-389977
fatty acid beta-oxidation (peroxisome)	BioCyc	PWY66-391	1	22	0.047380772033	0.0596203514905	ACAA1	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY66-391
glutathione-mediated detoxification	BioCyc	PWY-4061	1	22	0.047380772033	0.0596203514905	ANPEP	http://biocyc.org/HUMAN/NEW-IMAGE?type=NIL&object=PWY-4061
Alpha adrenergic receptor signaling pathway	PANTHER	P00002	1	23	0.049389520095	0.0617228210081	PRKCA	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00002
Renin-angiotensin system	KEGG PATHWAY	hsa04614	1	23	0.049389520095	0.0617228210081	ANPEP	http://www.genome.jp/kegg-bin/show_pathway?hsa04614/hsa:290%09red
Nucleotide salvage	Reactome	R-HSA-8956321	1	23	0.049389520095	0.0617228210081	CDA	http://www.reactome.org/cgi-bin/eventbrowser_st_id?ST_ID=R-HSA-8956321
